filename,width,height,class,xmin,ymin,xmax,ymax
1.1.jpg,852,480,sad,280,27,680,394
1.image_8640454461499434291050.jpg,600,337,sad,221,1,416,242
1.jjCU.jpg,400,235,sad,109,28,235,208
10.10.jpg,910,480,smile,228,89,421,338
10.6fb6616b7bf78bdb_liu.jpg,550,550,smile,168,59,306,254
10.jj1tn.jpg,600,450,sad,120,9,345,394
100.smile-asians-2.jpg,400,267,smile,212,9,311,162
100.VD34944438_w640.jpg,640,360,sad,92,35,262,278
100.VD34944438_w640.jpg,640,360,neutral,374,48,560,287
101.EliKiseopUKISS.jpg,1000,500,neutral,225,62,407,344
101.EliKiseopUKISS.jpg,1000,500,neutral,605,91,771,333
101.SSI_20161018150057.jpg,580,440,sad,232,133,372,285
102.2427797-bigthumbnail.jpg,450,445,smile,180,99,301,235
102.c1fe81c484b54df68be0646378d8d5fb.jpg,530,314,sad,283,52,415,228
103.1131271546.jpg,509,339,smile,172,95,234,207
103.1131271546.jpg,509,339,smile,279,95,336,182
103.476334.jpg,1200,1800,smile,553,381,873,829
103.angry-asian-woman-with-arms-crossed-on-white-background.jpg,561,581,angry,239,152,311,241
103.crop.JPG,424,547,neutral,89,118,154,217
103.crop.JPG,424,547,neutral,261,100,313,179
103.image_crop.JPG,258,199,neutral,34,59,85,125
103.image_crop.JPG,258,199,neutral,150,44,207,133
103.image_crop2.JPG,257,205,neutral,120,45,163,112
104.crop.JPG,613,419,neutral,118,166,281,339
105.crop.JPG,379,260,sad,164,13,284,204
105.Pete-Henshaw-Asian-Smile.jpg,2500,3523,smile,596,720,1666,2076
105.soccer_qat09.jpg,980,551,angry,384,53,664,429
106.2019011901000872100063851.jpg,500,333,sad,300,38,378,159
106.https%3A%2F%2Fblogs-images.forbes.com%2Fgoldiechan%2Ffiles%2F2019%2F06%2FCU_Phil-Yu_Large.jpg,960,444,angry,350,104,529,358
106.office-visits.jpg,268,303,smile,41,25,155,192
107.crop.JPG,606,537,neutral,84,123,148,212
107.crop.JPG,606,537,neutral,365,64,433,163
108.14c565b04ad032202d9079c83ca53327.jpg,1080,1077,neutral,360,48,814,631
108.201807241222547890_t.jpg,1280,720,sad,446,68,1096,702
108.Sanjay-Sharma8-681x1024.jpg,681,1024,neutral,186,155,468,576
109.crop.JPG,430,326,neutral,164,29,279,181
109.crop2.JPG,380,334,angry,112,97,213,225
109.crop3.JPG,378,337,angry,157,81,313,307
109.DSP0044818-preview-logo-watermarked.jpg,533,800,smile,135,152,367,448
11.6.jpg,300,200,smile,106,25,181,138
11.asian-man-with-surprised-shocked-face_39688-1297.jpg,626,417,surprise,230,60,377,260
11.happy-asian-family-stock-photo-2726146.jpg,1300,1001,smile,159,452,273,602
11.happy-asian-family-stock-photo-2726146.jpg,1300,1001,smile,439,255,590,420
11.happy-asian-family-stock-photo-2726146.jpg,1300,1001,smile,647,162,798,344
11.happy-asian-family-stock-photo-2726146.jpg,1300,1001,smile,807,308,949,474
11.VD57983418_w1280.jpg,1280,720,sad,432,108,917,614
110.1129815437.jpg,508,339,surprise,219,51,279,142
110.b2d812ad64e07994fe688c529274bb00.jpg,800,1200,neutral,303,193,609,673
111.280-jir0032-jj.jpg,400,600,smile,210,156,295,262
111.Asian-girls-shopping-515.jpg,640,360,smile,106,59,129,95
111.Asian-girls-shopping-515.jpg,640,360,smile,267,54,298,91
111.Asian-girls-shopping-515.jpg,640,360,smile,327,65,353,101
111.Asian-girls-shopping-515.jpg,640,360,smile,388,62,417,97
111.Asian-girls-shopping-515.jpg,640,360,smile,448,64,473,96
111.Asian-girls-shopping-515.jpg,640,360,smile,520,53,549,92
111.Asian-girls-shopping-515.jpg,640,360,neutral,159,66,190,105
111.Asian-girls-shopping-515.jpg,640,360,neutral,220,56,243,93
111.crop.JPG,337,409,smile,132,33,280,288
111.crop2.JPG,338,413,sad,68,29,239,283
111.crop3.JPG,345,411,sad,51,65,171,303
111.crop4.JPG,338,408,sad,128,50,250,262
111.crop5.JPG,337,412,neutral,69,53,230,299
111.maxresdefault.jpg,1280,720,neutral,504,68,803,534
112.crop.JPG,355,273,neutral,90,61,234,225
112.crop2.JPG,254,255,neutral,57,24,134,123
112.crop4.JPG,244,327,neutral,119,34,169,104
112.crop5.JPG,223,213,neutral,91,102,149,172
112.IMG_28000.jpg,1728,1080,smile,468,196,859,576
113.dsukmx45m835nw9bgn7p.jpg,700,416,smile,215,147,409,342
113.little-asian-boy-surprised-1432290.jpg,1600,1200,angry,201,208,1099,1165
114.crop.JPG,189,262,neutral,50,57,75,91
114.crop.JPG,189,262,neutral,115,40,137,75
114.crop.JPG,189,262,neutral,146,24,167,57
114.depositphotos_192482688-stock-video-happy-asian-women-using-smart.jpg,608,342,neutral,192,48,254,161
114.VD_crop.JPG,386,366,sad,42,79,232,314
115.58ef169516000027006582f2.jpg,630,430,neutral,145,58,329,337
115.92250_5758.jpg,1200,1600,neutral,437,305,810,858
115.PS19042501832.jpg,670,497,sad,41,231,179,390
115.sevendeman150600056.jpg,450,253,surprise,142,28,245,193
116.5041510-asian-brunette-depth-of-field-dress-girl-long-hair-model-smile-woman.jpg,1920,1200,smile,1003,197,1211,381
116.611211110012749457_1.jpg,550,385,sad,171,47,327,283
116.graphicstock-young-surprised-asian-woman-in-glasses-and-shirt-holding-the-clock-in-hands-isolated-gray-background_HLHfx_Qd3x_SB_PM.jpg,1000,667,neutral,427,61,562,245
117.crop.JPG,339,285,angry,177,62,285,243
117.inline_image_preview.jpg,590,332,neutral,150,39,291,234
118.crop2.JPG,233,162,neutral,130,21,187,101
118.cute-asian-model-looking-back-and-smiling.jpg,4256,2598,smile,2162,498,3020,1881
118.hgc5ww0u6k20waet51c5.jpg,700,402,sad,204,50,418,324
118.Karl-Feilder-Sustainability-Leadership-Award.jpg,2448,3264,neutral,939,380,1481,1197
119.crop.JPG,612,637,neutral,121,68,415,462
119.IE002370253_PHT.jpg,1000,730,neutral,121,251,254,448
119.IE002370253_PHT.jpg,1000,730,neutral,748,11,910,231
119.IE002370253_PHT.jpg,1000,730,neutral,651,139,750,306
119.young-asian-woman-looking-happy_23-2148212443.jpg,626,417,smile,260,48,366,176
12.130815_520c3f89eb338.jpg,500,274,sad,242,52,371,217
12.201202171002451553167A_1.jpg,464,247,sad,210,36,281,128
12.crop.JPG,543,444,smile,48,93,145,256
12.crop.JPG,543,444,smile,225,121,337,257
12.crop.JPG,543,444,smile,408,165,491,293
12.maxresdefault.jpg,1280,720,neutral,316,42,566,417
12.maxresdefault.jpg,1280,720,smile,934,32,1015,136
120.1115-bobby-bonaparte_qtf3o6.jpg,1000,1289,smile,535,222,613,323
120.1133637106.jpg,508,339,smile,218,60,282,130
120.1133637106.jpg,508,339,smile,197,138,254,200
120.article_crop.JPG,282,516,sad,68,94,189,235
120.article_crop2.JPG,246,444,sad,94,55,211,226
120.crop.JPG,402,368,sad,163,80,299,231
120.crop2.JPG,490,390,sad,266,96,368,243
120.maxresdefault.jpg,1280,720,neutral,490,139,748,474
121.2018-asian-games_bd2faaee-aa1c-11e8-8465-1eef8cfbb700.jpg,444,250,smile,214,52,268,122
121.crop.JPG,351,340,neutral,113,87,220,213
121.felix-sanchez_h7vw3lfy5xre1pfzpo1cev2k0.jpg,1001,563,neutral,383,89,605,363
122.omEcD.jpg,420,255,sad,128,57,227,183
123.focused_178419342-stock-photo-happy-asian-family-jumping-hoppity.jpg,650,433,smile,95,52,129,113
123.focused_178419342-stock-photo-happy-asian-family-jumping-hoppity.jpg,650,433,smile,310,57,343,92
123.focused_178419342-stock-photo-happy-asian-family-jumping-hoppity.jpg,650,433,smile,478,46,513,94
123.hasan-minhaj-now-110618.jpg,500,328,smile,186,45,263,157
123.TB2WMCRpYZnBKNjSZFrXXaRLFXa_!!1754984116.jpg,800,800,neutral,286,209,549,542
124.angry-asian-man-tears-box-aggressively_39688-1319.jpg,626,417,angry,276,101,357,212
124.HAPPY-CLEANERS_STILL_05.jpg,4096,1728,neutral,1585,355,1838,764
124.little-asian-boy-surprised-1432293.jpg,1600,1200,neutral,731,277,1114,929
124.maxresdefault.jpg,1280,720,smile,720,165,907,425
124.maxresdefault.jpg,1280,720,sad,368,332,562,559
125.asian-person-smiling-wallpaper-3.jpg,600,399,smile,137,77,305,297
125.crop.JPG,399,383,neutral,191,41,254,149
125.crop2.JPG,366,440,neutral,40,68,101,147
125.crop3.JPG,333,452,neutral,83,62,134,143
125.N_crop.JPG,319,268,sad,100,43,202,167
125.N_crop2.JPG,305,251,neutral,113,41,183,135
125.N_crop3.JPG,323,279,neutral,152,73,210,158
125.N_crop4.JPG,337,295,neutral,184,80,251,176
126.1.jpg,852,480,neutral,297,97,434,266
126.crop.JPG,282,206,sad,86,36,198,158
